File: ,File path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,Emissivity:,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refl. temp.:,25 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distance:,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atmospheric temp.:,20 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ext. optics temp.:,20 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ext. optics trans.:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Relative humidity:,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,Emissivity:,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refl. temp.:,25 °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distance:,0 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame 1,24.46,24.295,24.13,23.978,23.863,23.762,23.672,23.519,23.417,23.366,23.328,23.302,23.264,23.212,23.187,23.161,23.174,23.187,23.174,23.161,23.161,23.174,23.187,23.2,23.225,23.251,23.289,23.315,23.34,23.353,23.366,23.379,23.417,23.443,23.468,23.481,23.468,23.481,23.507,23.519,23.558,23.57,23.583,23.596,23.609,23.609,23.634,23.66,23.672,23.672,23.685,23.698,23.711,23.723,23.749,23.749,23.749,23.723,23.723,23.723,23.736,23.723,23.736,23.736,23.749,23.749,23.762,23.762,23.774,23.774,23.762,23.749,23.736,23.736,23.736,23.749
Frame 2,24.498,24.359,24.194,24.016,23.876,23.774,23.685,23.545,23.455,23.392,23.34,23.315,23.289,23.212,23.2,23.174,23.187,23.187,23.2,23.187,23.174,23.187,23.2,23.2,23.238,23.238,23.264,23.302,23.315,23.328,23.353,23.366,23.404,23.43,23.468,23.481,23.481,23.481,23.507,23.519,23.558,23.583,23.596,23.596,23.609,23.609,23.621,23.647,23.672,23.685,23.698,23.711,23.711,23.736,23.749,23.762,23.762,23.762,23.749,23.749,23.736,23.749,23.749,23.762,23.762,23.774,23.774,23.774,23.774,23.774,23.762,23.749,23.736,23.723,23.736,23.749
Frame 3,24.548,24.397,24.257,24.079,23.927,23.812,23.698,23.57,23.494,23.43,23.392,23.353,23.315,23.276,23.238,23.212,23.225,23.238,23.238,23.225,23.225,23.225,23.225,23.238,23.276,23.276,23.315,23.34,23.353,23.366,23.379,23.392,23.43,23.468,23.494,23.507,23.519,23.532,23.558,23.583,23.609,23.634,23.634,23.634,23.634,23.634,23.66,23.66,23.685,23.698,23.698,23.711,23.711,23.736,23.749,23.762,23.774,23.787,23.787,23.787,23.774,23.787,23.8,23.812,23.812,23.812,23.812,23.8,23.812,23.812,23.787,23.787,23.762,23.749,23.736,23.749
Frame 4,24.548,24.422,24.27,24.092,23.952,23.838,23.711,23.583,23.519,23.443,23.404,23.366,23.315,23.264,23.212,23.187,23.2,23.212,23.212,23.187,23.187,23.187,23.2,23.225,23.251,23.276,23.302,23.328,23.34,23.353,23.366,23.392,23.417,23.443,23.481,23.494,23.494,23.507,23.532,23.558,23.583,23.609,23.609,23.609,23.609,23.621,23.634,23.66,23.672,23.685,23.685,23.698,23.698,23.711,23.736,23.749,23.749,23.749,23.736,23.749,23.736,23.749,23.774,23.787,23.787,23.787,23.787,23.8,23.8,23.787,23.774,23.762,23.736,23.723,23.723,23.736
